u,v,key,osmid,oneway,name,highway,reversed,length,lanes,geometry,service,access
3382291935,8341746766,0,331167314,False,Ngõ 67,residential,False,44.446,,"LINESTRING (105.8168986 21.0399906, 105.8169894 21.0399743, 105.8173252 21.0399743)",,
3382291935,3382291931,0,331167314,False,Ngõ 67,residential,True,36.897999999999996,,"LINESTRING (105.8168986 21.0399906, 105.8166316 21.0400388, 105.8165529 21.0400651)",,
3382291935,3382291896,0,331167320,False,,service,False,80.19399999999999,,"LINESTRING (105.8168986 21.0399906, 105.8169609 21.0401792, 105.8169853 21.0403916, 105.8170057 21.0405814, 105.8169674 21.0406954)",alley,
3382291941,3382291903,0,331167321,False,,service,True,38.150000000000006,,"LINESTRING (105.8174271 21.0396926, 105.8173499 21.039723, 105.8173621 21.039833, 105.8174285 21.0399743)",alley,
3382291942,445252524,0,331167322,False,,service,False,13.39,,"LINESTRING (105.8165148 21.0385055, 105.8166425 21.0384883)",alley,
3382291945,445252524,0,331167322,False,,service,True,101.531,,"LINESTRING (105.8166275 21.0382283, 105.8169609 21.0381752, 105.8170202 21.0384034, 105.8166425 21.0384883)",alley,
3382291946,3382291935,0,331167323,False,,service,True,51.105,,"LINESTRING (105.8168167 21.0395374, 105.8168986 21.0399906)",alley,
3382291946,3382291948,0,331167324,False,,service,True,7.769,,"LINESTRING (105.8168167 21.0395374, 105.8168905 21.0395257)",alley,
3382291946,9706960161,0,"[675318610, 331167324]",False,,service,False,73.033,,"LINESTRING (105.8168167 21.0395374, 105.8163172 21.0396168, 105.8162849 21.0394354)",alley,
3382291948,3382291946,0,331167324,False,,service,False,7.769,,"LINESTRING (105.8168905 21.0395257, 105.8168167 21.0395374)",alley,
3382291948,8299505952,0,331167324,False,,service,True,31.339,,"LINESTRING (105.8168905 21.0395257, 105.8171884 21.0394796)",alley,
3382291948,445252512,0,331167325,False,,service,False,49.022,,"LINESTRING (105.8168905 21.0395257, 105.8167556 21.0391032)",alley,
3382291950,9706960161,0,675318610,False,,service,True,25.532,,"LINESTRING (105.8162445 21.0392089, 105.8162849 21.0394354)",alley,
3382291950,445252512,0,966146649,False,Ngõ 97 Văn Cao,residential,False,54.33,,"LINESTRING (105.8162445 21.0392089, 105.8167556 21.0391032)",,
3382291950,10302026170,0,966146649,False,Ngõ 97 Văn Cao,residential,True,40.647,,"LINESTRING (105.8162445 21.0392089, 105.8158608 21.0392822)",,
3382291951,2657122067,0,892981900,False,,residential,True,30.427,,"LINESTRING (105.8176849 21.0389932, 105.817977 21.0389697)",,
3382291951,8299505994,0,966146651,False,,residential,False,28.526,,"LINESTRING (105.8176849 21.0389932, 105.8174101 21.0389878)",,
3382291951,8299505952,0,"[331167324, 331167326]",False,,service,"[False, True]",96.924,,"LINESTRING (105.8176849 21.0389932, 105.8176751 21.0394043, 105.8171884 21.0394796)",alley,
3382291952,9706960160,0,37567094,True,Đường Văn Cao,primary,False,26.028,2,"LINESTRING (105.8157712 21.0392993, 105.8158361 21.0395254)",,
3382291952,10302026170,0,966146649,False,Ngõ 97 Văn Cao,residential,False,9.491,,"LINESTRING (105.8157712 21.0392993, 105.8158608 21.0392822)",,
3382291962,10302026168,0,37972511,False,Ngõ 127 Văn Cao,service,True,47.581,,"LINESTRING (105.8158259 21.0377818, 105.8153799 21.0376827)",,
3382291962,3382291970,0,37972511,False,Ngõ 127 Văn Cao,service,False,31.849,,"LINESTRING (105.8158259 21.0377818, 105.8158827 21.0377934, 105.8161262 21.037746)",,
3382291962,3382291966,0,331167331,False,,service,False,72.93800000000002,,"LINESTRING (105.8158259 21.0377818, 105.8158143 21.0379636, 105.8158672 21.0381799, 105.8158875 21.0382937, 105.8160338 21.0382975)",alley,
3382291966,3382291967,0,331167331,False,,service,False,21.705,,"LINESTRING (105.8160338 21.0382975, 105.8161273 21.0384721)",alley,
3382291966,3382291962,0,331167331,False,,service,True,72.938,,"LINESTRING (105.8160338 21.0382975, 105.8158875 21.0382937, 105.8158672 21.0381799, 105.8158143 21.0379636, 105.8158259 21.0377818)",alley,
3382291966,3382291969,0,331167332,False,,service,False,54.260999999999996,,"LINESTRING (105.8160338 21.0382975, 105.8162737 21.0382027, 105.8163306 21.0384417)",alley,
