osmid,y,x,street_count,highway,geometry
2634658890,21.0403234,105.8208099,3,,POINT (105.8208099 21.0403234)
2634658893,21.0401821,105.820006,3,,POINT (105.820006 21.0401821)
2634658896,21.0402246,105.8203218,1,,POINT (105.8203218 21.0402246)
2634658897,21.0402099,105.8200078,3,,POINT (105.8200078 21.0402099)
2634658898,21.0402073,105.8198843,1,,POINT (105.8198843 21.0402073)
2634658899,21.0403488,105.8200167,3,,POINT (105.8200167 21.0403488)
2634658902,21.0403454,105.8203526,1,,POINT (105.8203526 21.0403454)
2634658903,21.0404743,105.8200247,3,,POINT (105.8200247 21.0404743)
2634658906,21.0404518,105.8206392,3,,POINT (105.8206392 21.0404518)
2634658908,21.0401757,105.8206484,1,,POINT (105.8206484 21.0401757)
2634658910,21.0409004,105.8206299,1,,POINT (105.8206299 21.0409004)
2634658918,21.0404243,105.8200215,3,,POINT (105.8200215 21.0404243)
2634658927,21.0410568,105.8194522,1,,POINT (105.8194522 21.0410568)
2634658928,21.0407782,105.8194271,3,,POINT (105.8194271 21.0407782)
2634658932,21.0406766,105.8190962,3,,POINT (105.8190962 21.0406766)
2634658933,21.0414434,105.8203669,3,,POINT (105.8203669 21.0414434)
2634658938,21.0413694,105.8206407,3,,POINT (105.8206407 21.0413694)
2634658939,21.0412162,105.8206381,3,,POINT (105.8206381 21.0412162)
2634658940,21.0410638,105.8206196,1,,POINT (105.8206196 21.0410638)
2634658942,21.0411817,105.8209123,3,,POINT (105.8209123 21.0411817)
2634658946,21.0408798,105.8211341,1,,POINT (105.8211341 21.0408798)
2634658948,21.0410379,105.8208229,3,,POINT (105.8208229 21.0410379)
2634658949,21.0410926,105.8207736,1,,POINT (105.8207736 21.0410926)
2634658950,21.0410149,105.8209647,1,,POINT (105.8209647 21.0410149)
2657122059,21.0407905,105.8189412,3,,POINT (105.8189412 21.0407905)
2657122066,21.0387461,105.8183128,4,,POINT (105.8183128 21.0387461)
2657122067,21.0389697,105.817977,3,,POINT (105.817977 21.0389697)
2657122068,21.0390474,105.8184925,3,,POINT (105.8184925 21.0390474)
2657122069,21.0392255,105.8181176,1,,POINT (105.8181176 21.0392255)
2657122070,21.0397869,105.8189404,3,,POINT (105.8189404 21.0397869)
